DEPTH,RHOB,RHOB_2,DT,GR,PHIT,AI_obs,AI_obs_2,VP,VP_2,VS,LITHOLOGY,AI,SI,VPVS,PR,G_SAT,M_SAT,K_SAT,VP_gas,VS_gas,RHOB_gas,AI_gas,VPVS_gas,PR_gas,K_dry
50.1,2.04504,2.23057,160.95296,3.0703,0.37811,3953100.0,7131.79,1896.3003,2391.9048,1106.3322,1,3878.0111,2262.49418,1.71404,0.24199,2.50307,7.35387,4.01645,1418.011,1209.0546,1.71231,2428.0679,1.17283,-0.83148,0.0
50.25,2.04504,2.23057,160.95296,2.7441,0.37811,3953100.0,7131.79,1896.3003,2391.9048,1106.3322,1,3878.0111,2262.49418,1.71404,0.24199,2.50307,7.35387,4.01645,1418.011,1209.0546,1.71231,2428.0679,1.17283,-0.83148,0.0
50.4,2.04504,2.23057,160.95296,2.6564,0.37811,3953100.0,7131.79,1896.3003,2391.9048,1106.3322,1,3878.0111,2262.49418,1.71404,0.24199,2.50307,7.35387,4.01645,1418.011,1209.0546,1.71231,2428.0679,1.17283,-0.83148,0.0
50.55,2.04504,2.23057,160.95296,2.6521,0.37811,3953100.0,7131.79,1896.3003,2391.9048,1106.3322,1,3878.0111,2262.49418,1.71404,0.24199,2.50307,7.35387,4.01645,1418.011,1209.0546,1.71231,2428.0679,1.17283,-0.83148,0.0
50.7,2.04504,2.23057,160.95296,2.03201,0.37811,3953100.0,7131.79,1896.3003,2391.9048,1106.3322,1,3878.0111,2262.49418,1.71404,0.24199,2.50307,7.35387,4.01645,1418.011,1209.0546,1.71231,2428.0679,1.17283,-0.83148,0.0
50.85,2.04504,2.23057,160.95296,1.7953,0.37811,3953100.0,7131.79,1896.3003,2391.9048,1106.3322,1,3878.0111,2262.49418,1.71404,0.24199,2.50307,7.35387,4.01645,1418.011,1209.0546,1.71231,2428.0679,1.17283,-0.83148,0.0
51.0,2.04504,2.23057,160.95296,1.4786,0.37811,3953100.0,7131.79,1896.3003,2391.9048,1106.3322,1,3878.0111,2262.49418,1.71404,0.24199,2.50307,7.35387,4.01645,1418.011,1209.0546,1.71231,2428.0679,1.17283,-0.83148,0.0
51.15,2.04504,2.23057,160.95296,1.3392,0.37811,3953100.0,7131.79,1896.3003,2391.9048,1106.3322,1,3878.0111,2262.49418,1.71404,0.24199,2.50307,7.35387,4.01645,1418.011,1209.0546,1.71231,2428.0679,1.17283,-0.83148,0.0
51.3,2.04504,2.23057,160.95296,1.3392,0.37811,3953100.0,7131.79,1896.3003,2391.9048,1106.3322,1,3878.0111,2262.49418,1.71404,0.24199,2.50307,7.35387,4.01645,1418.011,1209.0546,1.71231,2428.0679,1.17283,-0.83148,0.0
51.45,2.04504,2.23057,160.95296,1.72849,0.37811,3953100.0,7131.79,1896.3003,2391.9048,1106.3322,1,3878.0111,2262.49418,1.71404,0.24199,2.50307,7.35387,4.01645,1418.011,1209.0546,1.71231,2428.0679,1.17283,-0.83148,0.0
51.6,2.04504,2.23057,160.95296,2.9567,0.37811,3953100.0,7131.79,1896.3003,2391.9048,1106.3322,1,3878.0111,2262.49418,1.71404,0.24199,2.50307,7.35387,4.01645,1418.011,1209.0546,1.71231,2428.0679,1.17283,-0.83148,0.0
51.75,2.04504,2.23057,160.95296,4.01529,0.37811,3953100.0,7131.79,1896.3003,2391.9048,1106.3322,1,3878.0111,2262.49418,1.71404,0.24199,2.50307,7.35387,4.01645,1418.011,1209.0546,1.71231,2428.0679,1.17283,-0.83148,0.0
51.9,2.04504,2.23057,160.95296,4.43009,0.37811,3953100.0,7131.79,1896.3003,2391.9048,1106.3322,1,3878.0111,2262.49418,1.71404,0.24199,2.50307,7.35387,4.01645,1418.011,1209.0546,1.71231,2428.0679,1.17283,-0.83148,0.0
52.05,2.04504,2.23057,160.95296,4.7036,0.37811,3953100.0,7131.79,1896.3003,2391.9048,1106.3322,1,3878.0111,2262.49418,1.71404,0.24199,2.50307,7.35387,4.01645,1418.011,1209.0546,1.71231,2428.0679,1.17283,-0.83148,0.0
52.2,2.04504,2.23057,160.95296,4.8807,0.37811,3953100.0,7131.79,1896.3003,2391.9048,1106.3322,1,3878.0111,2262.49418,1.71404,0.24199,2.50307,7.35387,4.01645,1418.011,1209.0546,1.71231,2428.0679,1.17283,-0.83148,0.0
52.35,2.04504,2.23057,160.95296,5.109,0.37811,3953100.0,7131.79,1896.3003,2391.9048,1106.3322,1,3878.0111,2262.49418,1.71404,0.24199,2.50307,7.35387,4.01645,1418.011,1209.0546,1.71231,2428.0679,1.17283,-0.83148,0.0
52.5,2.04504,2.23057,160.95296,5.2881,0.37811,3953100.0,7131.79,1896.3003,2391.9048,1106.3322,1,3878.0111,2262.49418,1.71404,0.24199,2.50307,7.35387,4.01645,1418.011,1209.0546,1.71231,2428.0679,1.17283,-0.83148,0.0
52.65,2.04504,2.23057,160.95296,5.3052,0.37811,3953100.0,7131.79,1896.3003,2391.9048,1106.3322,1,3878.0111,2262.49418,1.71404,0.24199,2.50307,7.35387,4.01645,1418.011,1209.0546,1.71231,2428.0679,1.17283,-0.83148,0.0
52.8,2.04504,2.23057,160.95296,5.3052,0.37811,3953100.0,7131.79,1896.3003,2391.9048,1106.3322,1,3878.0111,2262.49418,1.71404,0.24199,2.50307,7.35387,4.01645,1418.011,1209.0546,1.71231,2428.0679,1.17283,-0.83148,0.0
52.95,2.04504,2.23057,160.95296,5.4608,0.37811,3953100.0,7131.79,1896.3003,2391.9048,1106.3322,1,3878.0111,2262.49418,1.71404,0.24199,2.50307,7.35387,4.01645,1418.011,1209.0546,1.71231,2428.0679,1.17283,-0.83148,0.0
53.1,2.04504,2.23057,160.95296,5.6249,0.37811,3953100.0,7131.79,1896.3003,2391.9048,1106.3322,1,3878.0111,2262.49418,1.71404,0.24199,2.50307,7.35387,4.01645,1418.011,1209.0546,1.71231,2428.0679,1.17283,-0.83148,0.0
53.25,2.04504,2.23057,160.95296,5.31,0.37811,3953100.0,7131.79,1896.3003,2391.9048,1106.3322,1,3878.0111,2262.49418,1.71404,0.24199,2.50307,7.35387,4.01645,1418.011,1209.0546,1.71231,2428.0679,1.17283,-0.83148,0.0
53.4,2.04504,2.23057,160.95296,4.47382,0.37811,3953100.0,7131.79,1896.3003,2391.9048,1106.3322,1,3878.0111,2262.49418,1.71404,0.24199,2.50307,7.35387,4.01645,1418.011,1209.0546,1.71231,2428.0679,1.17283,-0.83148,0.0
53.55,2.04504,2.23057,160.95296,3.8929,0.37811,3953100.0,7131.79,1896.3003,2391.9048,1106.3322,1,3878.0111,2262.49418,1.71404,0.24199,2.50307,7.35387,4.01645,1418.011,1209.0546,1.71231,2428.0679,1.17283,-0.83148,0.0
53.7,2.04504,2.23057,160.95296,3.8929,0.37811,3953100.0,7131.79,1896.3003,2391.9048,1106.3322,1,3878.0111,2262.49418,1.71404,0.24199,2.50307,7.35387,4.01645,1418.011,1209.0546,1.71231,2428.0679,1.17283,-0.83148,0.0
53.85,2.04504,2.23057,160.95296,4.295,0.37811,3953100.0,7131.79,1896.3003,2391.9048,1106.3322,1,3878.0111,2262.49418,1.71404,0.24199,2.50307,7.35387,4.01645,1418.011,1209.0546,1.71231,2428.0679,1.17283,-0.83148,0.0
