DEPTH,RHOB,RHOB_2,DT,GR,PHIT,AI_obs,AI_obs_2,VP,VP_2,VS,LITHOLOGY,AI,SI,VPVS,PR,G_SAT,M_SAT,K_SAT,VP_gas,VS_gas,RHOB_gas,AI_gas,VPVS_gas,PR_gas,K_dry
29.29,2.0489,2.14133,159.00139,1.1225,0.3757,3903410.0,4763.31,1916.9595,2278.8694,1070.3083,1,3927.6583,2192.95466,1.79103,0.27353,2.34714,7.52916,4.39965,1372.2803,1168.7505,1.71828,2357.967,1.17414,-0.82061,0.0
29.44,2.0489,2.14133,159.00139,1.1225,0.3757,3903460.2,4763.31,1916.9595,2278.8694,1070.3083,1,3927.6583,2192.95466,1.79103,0.27353,2.34714,7.52916,4.39965,1372.2803,1168.7505,1.71828,2357.967,1.17414,-0.82061,0.0
29.59,2.04892,2.14133,159.00139,1.1225,0.3757,3903550.0,4763.31,1916.9595,2278.8694,1070.3083,1,3927.69669,2192.97609,1.79103,0.27353,2.34716,7.52924,4.39969,1372.2789,1168.7494,1.7183,2357.992,1.17414,-0.82062,0.0
29.74,2.049,2.14133,159.00139,1.1225,0.3757,3903760.0,4763.31,1916.9595,2278.8694,1070.3083,1,3927.85026,2193.06183,1.79103,0.27353,2.34725,7.52953,4.39986,1372.2726,1168.745,1.71838,2358.0916,1.17414,-0.82062,0.0
29.89,2.049,2.14133,159.00139,1.1225,0.3756,3903820.0,4763.31,1916.9595,2278.8694,1070.3083,1,3927.85026,2193.06183,1.79103,0.27353,2.34725,7.52953,4.39986,1372.2437,1168.7151,1.71847,2358.162,1.17415,-0.82058,0.0
30.04,2.049,2.14133,159.00139,1.1225,0.3756,3903870.0,4763.31,1916.9595,2278.8694,1070.3083,1,3927.85026,2193.06183,1.79103,0.27353,2.34725,7.52953,4.39986,1372.2437,1168.7151,1.71847,2358.162,1.17415,-0.82058,0.0
30.19,2.049,2.14133,159.00139,1.1225,0.3756,3903930.0,5641.513,1916.9595,2278.8694,1070.3083,1,3927.85026,2193.06183,1.79103,0.27353,2.34725,7.52953,4.39986,1372.2437,1168.7151,1.71847,2358.162,1.17415,-0.82058,0.0
30.34,2.049,2.14133,159.00139,1.1225,0.3756,3903979.8,6753.496,1916.9595,2278.8694,1070.3083,1,3927.85026,2193.06183,1.79103,0.27353,2.34725,7.52953,4.39986,1372.2437,1168.7151,1.71847,2358.162,1.17415,-0.82058,0.0
30.49,2.049,2.14133,159.00139,1.1225,0.3756,3904040.2,7865.4683,1916.9595,2278.8694,1070.3083,1,3927.85026,2193.06183,1.79103,0.27353,2.34725,7.52953,4.39986,1372.2437,1168.7151,1.71847,2358.162,1.17415,-0.82058,0.0
30.64,2.049,2.14133,159.00139,1.1225,0.3756,3904090.0,8977.452,1916.9595,2278.8694,1070.3083,1,3927.85026,2193.06183,1.79103,0.27353,2.34725,7.52953,4.39986,1372.2437,1168.7151,1.71847,2358.162,1.17415,-0.82058,0.0
30.79,2.049,2.14133,159.00139,1.1225,0.3756,3904150.0,10089.4,1916.9595,2278.8694,1070.3083,1,3927.85026,2193.06183,1.79103,0.27353,2.34725,7.52953,4.39986,1372.2437,1168.7151,1.71847,2358.162,1.17415,-0.82058,0.0
30.94,2.0491,2.14133,159.00139,1.1225,0.3756,3904390.0,11201.403,1916.9595,2278.8694,1070.3083,1,3928.04176,2193.16876,1.79103,0.27353,2.34737,7.5299,4.40007,1372.2362,1168.7096,1.71857,2358.2864,1.17415,-0.82059,0.0
31.09,2.0491,2.14133,159.00139,1.1225,0.3756,3904450.0,12261.005,1916.9595,2278.8694,1070.3083,1,3928.04176,2193.16876,1.79103,0.27353,2.34737,7.5299,4.40007,1372.2362,1168.7096,1.71857,2358.2864,1.17415,-0.82059,0.0
