DEPTH,RHOB,RHOB_2,DT,GR,PHIT,AI_obs,AI_obs_2,VP,VP_2,VS,LITHOLOGY,AI,SI,VPVS,PR,G_SAT,M_SAT,K_SAT,VP_gas,VS_gas,RHOB_gas,AI_gas,VPVS_gas,PR_gas,K_dry
30.15,2.07778,2.07792,148.78172,12.85,0.3577,4085960.0,-23069.1,2048.64,2021.0159,991.1544,1,4256.62301,2059.40084,2.06692,0.3472,2.04118,8.72029,5.99871,1267.6836,1076.0054,1.763,2234.9312,1.17814,-0.78862,0.0
30.3,2.0778,2.07792,148.78172,12.85,0.3576,4086090.0,-23069.1,2048.64,2021.0159,991.1544,1,4256.66404,2059.42069,2.06692,0.3472,2.0412,8.72037,5.99877,1267.6576,1075.9777,1.76311,2235.0222,1.17814,-0.78858,0.0
30.45,2.0778,2.07792,148.78172,12.85,0.3576,4086190.0,-23069.1,2048.64,2021.0159,991.1544,1,4256.66404,2059.42069,2.06692,0.3472,2.0412,8.72037,5.99877,1267.6576,1075.9777,1.76311,2235.0222,1.17814,-0.78858,0.0
30.6,2.0778,2.07792,148.78172,12.85,0.3576,4086289.8,-23069.1,2048.64,2021.0159,991.1544,1,4256.66404,2059.42069,2.06692,0.3472,2.0412,8.72037,5.99877,1267.6576,1075.9777,1.76311,2235.0222,1.17814,-0.78858,0.0
30.75,2.0778,2.07792,148.78172,12.85,0.3576,4086390.2,-23069.1,2048.64,2021.0159,991.1544,1,4256.66404,2059.42069,2.06692,0.3472,2.0412,8.72037,5.99877,1267.6576,1075.9777,1.76311,2235.0222,1.17814,-0.78858,0.0
30.9,2.07788,2.07792,148.78172,12.85,0.3576,4086640.2,-23069.1,2048.64,2021.0159,991.1544,1,4256.82767,2059.49985,2.06692,0.3472,2.04128,8.72071,5.999,1267.6522,1075.9739,1.76319,2235.1143,1.17814,-0.78858,0.0
31.05,2.0779,2.07792,148.78172,12.85,0.3576,4086780.0,-23069.1,2048.64,2021.0159,991.1544,1,4256.8687,2059.5197,2.06692,0.3472,2.0413,8.72079,5.99905,1267.6509,1075.973,1.76321,2235.1372,1.17814,-0.78858,0.0
31.2,2.0779,2.07792,148.78172,12.85,0.3576,4086880.0,-23069.1,2048.64,2021.0159,991.1544,1,4256.8687,2059.5197,2.06692,0.3472,2.0413,8.72079,5.99905,1267.6509,1075.973,1.76321,2235.1372,1.17814,-0.78858,0.0
31.35,2.0779,2.07792,148.78172,12.85,0.3575,4086980.0,-23069.1,2048.64,2021.0159,991.1544,1,4256.8687,2059.5197,2.06692,0.3472,2.0413,8.72079,5.99905,1267.6262,1075.9462,1.7633,2235.2053,1.17815,-0.78853,0.0
31.5,2.07797,2.07792,148.78172,12.85,0.3575,4087220.2,-23069.1,2048.64,2021.0159,991.1544,1,4257.01229,2059.58918,2.06692,0.3472,2.04137,8.72109,5.99926,1267.6216,1075.9429,1.76337,2235.286,1.17815,-0.78854,0.0
31.65,2.078,2.07792,148.78172,12.85,0.3575,4087380.0,-25081.5,2048.64,2021.0159,991.1544,1,4257.07384,2059.61895,2.06692,0.3472,2.0414,8.72121,5.99934,1267.6196,1075.9415,1.7634,2235.3206,1.17815,-0.78854,0.0
31.8,2.078,2.07792,148.78172,12.85,0.3575,4087470.2,-31118.615,2048.64,2021.0159,991.1544,1,4257.07384,2059.61895,2.06692,0.3472,2.0414,8.72121,5.99934,1267.6196,1075.9415,1.7634,2235.3206,1.17815,-0.78854,0.0
31.95,2.078,2.07792,148.78172,12.85,0.3575,4087570.0,-37155.754,2048.64,2021.0159,991.1544,1,4257.07384,2059.61895,2.06692,0.3472,2.0414,8.72121,5.99934,1267.6196,1075.9415,1.7634,2235.3206,1.17815,-0.78854,0.0
32.1,2.078,2.07792,148.78172,12.85,0.3575,4087670.0,-43192.848,2048.64,2021.0159,991.1544,1,4257.07384,2059.61895,2.06692,0.3472,2.0414,8.72121,5.99934,1267.6196,1075.9415,1.7634,2235.3206,1.17815,-0.78854,0.0
32.25,2.07806,2.07792,148.78172,12.85,0.3575,4087890.0,-49229.984,2048.64,2021.0159,991.1544,1,4257.19692,2059.6785,2.06692,0.3472,2.04146,8.72146,5.99952,1267.6156,1075.9387,1.76346,2235.3896,1.17815,-0.78855,0.0
32.4,2.0781,2.07792,148.78172,12.85,0.3574,4088070.2,-55267.027,2048.64,2021.0159,991.1544,1,4257.27849,2059.71796,2.06692,0.3472,2.0415,8.72163,5.99963,1267.5883,1075.91,1.76359,2235.5034,1.17815,-0.7885,0.0
